,,,,,,,,,（人）,,,（人）,,,（人）,,,（人）,,（人）,,,（人）,,（人）,,（人）,,（人）,,（人）,,（人）,,,（人）,,,（人）,,（人）,,（人）,,,（人）,,（人）,,（人）,,（人）,,（人）,,（人）,,,
,,,,,,,,,計,男,女,計,男,女,計,男,女,男,女,計,男,女,男,女,男,女,男,女,男,女,男,女,男,女,（人）,計,男,女,男,女,男,女,計,男,女,男,女,男,女,男,女,男,女,男,女,男,女,（人）,
00200,            ,            ,  ,,30,,522,食料・飲料卸売業,"333,121","200,037","133,084","318,535","194,310","124,225","302,535","186,162","116,373","20,032","7,693","274,810","166,130","108,680","143,046","51,151","23,084","57,529","3,799","5,154","3,896",882,"4,595","1,588",895,"2,526","58,978","16,000","8,148","7,852","4,863",905,620,"2,104","7,508","2,665","4,843","1,678","2,538",987,"2,305",337,475,14,11,5,4,6,5,"2,575",
00200,            ,            ,  ,,31,,5221,砂糖・味そ・しょう油卸売業,"7,332","4,912","2,420","7,111","4,828","2,283","6,562","4,546","2,016",717,203,"5,642","3,829","1,813","3,529","1,134",300,679,69,44,78,11,60,10,17,51,742,549,282,267,176,36,22,92,223,84,139,50,90,34,49,14,42,-,-,-,-,2,1,69,
00200,            ,            ,  ,,32,,5222,酒類卸売業,"32,846","23,504","9,342","30,768","22,162","8,606","29,895","21,676","8,219","2,060",691,"27,144","19,616","7,528","16,957","4,471","2,659","3,057",264,142,458,142,"1,453",416,69,318,"4,315",873,486,387,263,54,27,103,426,196,230,153,162,43,68,14,4,-,2,-,-,-,-,94,
00200,            ,            ,  ,,33,,5223,乾物卸売業,"17,133","8,411","8,722","16,532","8,236","8,296","15,015","7,496","7,519","1,929",816,"12,270","5,567","6,703","4,726","2,590",841,"4,113",164,361,38,9,26,9,9,30,"3,676","1,517",740,777,468,73,65,181,730,207,523,137,272,70,251,15,35,1,-,-,-,-,-,265,
00200,            ,            ,  ,,34,,5224,菓子・パン類卸売業,"52,002","26,324","25,678","50,661","25,888","24,773","46,288","23,830","22,458","2,642","1,068","42,578","21,188","21,390","16,840","7,996","4,348","13,394",271,693,377,211,372,108,92,160,"12,087","4,373","2,058","2,315","1,259",243,179,573,"2,119",620,"1,499",432,702,188,797,82,153,10,4,3,3,3,3,786,
00200,            ,            ,  ,,35,,5225,飲料卸売業(別掲を除く),"29,354","19,448","9,906","26,056","17,996","8,060","25,399","17,635","7,764","1,245",465,"23,689","16,390","7,299","15,226","3,954","1,164","3,345","1,242","1,495",371,17,505,105,66,252,"3,318",657,361,296,206,29,28,84,310,127,183,78,96,49,87,11,11,1,-,-,-,-,-,98,
00200,            ,            ,  ,,36,,5226,茶類卸売業,"11,112","5,957","5,155","10,841","5,954","4,887","9,721","5,386","4,335","1,107",515,"8,099","4,279","3,820","3,438","1,615",841,"2,205",130,240,174,36,15,6,3,32,"2,277","1,120",568,552,387,60,42,157,474,139,335,108,195,31,140,29,29,1,3,1,-,-,-,142,
00200,            ,            ,  ,,37,,5227,牛乳・乳製品卸売業,"24,659","14,307","10,352","23,642","14,034","9,608","21,009","12,501","8,508","1,246",435,"19,328","11,255","8,073","9,466","3,754","1,789","4,319",158,603,144,8,117,14,93,92,"4,438","2,633","1,533","1,100",814,90,92,345,"1,292",627,665,270,347,357,318,48,43,-,1,-,-,1,1,482,
00200,            ,            ,  ,,38,,5229,その他の食料・飲料卸売業,"158,683","97,174","61,509","152,924","95,212","57,712","148,646","93,092","55,554","9,086","3,500","136,060","84,006","52,054","72,864","25,637","11,142","26,417","1,501","1,576","2,256",448,"2,047",920,546,"1,591","28,125","4,278","2,120","2,158","1,290",320,165,569,"1,934",665,"1,269",450,674,215,595,124,158,1,1,1,1,-,-,639,
00200,            ,            ,  ,,39,,53,建築材料，鉱物・金属材料等卸売業,"588,922","427,096","161,826","579,645","425,865","153,780","560,666","413,195","147,471","55,443","16,849","488,374","357,752","130,622","330,103","102,134","27,649","28,488","6,088","2,619","16,044","2,206","8,273","1,592","2,111","5,884","47,012","18,979","12,670","6,309","6,832",382,591,"2,048","9,126","5,247","3,879","4,162","2,970","1,085",909,769,137,22,1,29,3,27,18,"1,737",
00200,            ,            ,  ,,40,,531,建築材料卸売業,"209,734","153,150","56,584","203,509","149,505","54,004","194,996","143,875","51,121","22,277","6,940","165,779","121,598","44,181","113,317","33,906","8,281","10,275","2,495","1,020","1,554",302,"1,960",343,402,"1,472","16,216","8,513","5,630","2,883","3,276",143,234,974,"3,886","2,120","1,766","1,801","1,419",319,347,337,45,5,-,7,1,3,1,606,
00200,            ,            ,  ,,41,,5311,木材・竹材卸売業,"44,292","32,196","12,096","43,019","31,418","11,601","40,124","29,490","10,634","6,205","1,888","32,031","23,285","8,746","21,175","6,053","2,110","2,693",612,281,154,14,172,24,50,188,"4,317","2,895","1,928",967,"1,092",39,98,336,"1,330",738,592,643,476,95,116,97,15,2,-,-,-,3,1,198,
00200,            ,            ,  ,,42,,5312,セメント卸売業,"7,171","5,423","1,748","6,969","5,320","1,649","6,806","5,210","1,596",940,271,"5,595","4,270","1,325","3,970","1,044",300,281,105,30,150,8,85,22,51,55,468,163,110,53,52,3,13,17,78,45,33,33,25,12,8,11,-,-,-,1,-,-,-,20,
00200,            ,            ,  ,,43,,5313,板ガラス卸売業,"5,843","4,384","1,459","5,635","4,242","1,393","5,068","3,854","1,214",560,181,"4,327","3,294","1,033","2,997",792,297,241,55,14,70,4,123,31,16,24,479,567,388,179,246,7,12,72,230,130,100,98,84,32,16,18,1,-,-,-,-,-,-,36,
00200,            ,            ,  ,,44,,5314,建築用金属製品卸売業(建築用金物を除く),"36,136","26,684","9,452","34,892","25,960","8,932","32,557","24,403","8,154","3,271","1,026","28,260","21,132","7,128","20,012","5,258","1,120","1,870",390,153,165,33,362,46,25,344,"2,649","2,335","1,557",778,964,30,50,268,"1,023",543,480,463,393,80,87,113,10,1,-,-,-,-,-,147,
00200,            ,            ,  ,,45,,5319,その他の建築材料卸売業,"116,292","84,463","31,829","112,994","82,565","30,429","110,441","80,918","29,523","11,301","3,574","95,566","69,617","25,949","65,163","20,759","4,454","5,190","1,333",542,"1,015",243,"1,218",220,260,861,"8,303","2,553","1,647",906,922,64,61,281,"1,225",664,561,564,441,100,120,98,19,2,-,6,1,-,-,205,
00200,            ,            ,  ,,46,,532,化学製品卸売業,"151,638","107,237","44,401","150,029","108,399","41,630","148,081","107,260","40,821","13,441","3,869","130,771","93,819","36,952","88,318","29,665","5,501","7,287","1,150",667,"5,738",600,"2,935",574,456,"2,108","10,518","1,948","1,139",809,690,65,49,232,912,400,512,343,383,57,129,28,19,1,-,2,-,6,3,174,
00200,            ,            ,  ,,47,,5321,塗料卸売業,"23,011","16,711","6,300","22,340","16,372","5,968","21,604","15,936","5,668","2,507",896,"18,201","13,429","4,772","12,614","3,770",815,"1,002",196,80,382,47,429,68,84,221,"1,586",736,436,300,270,19,12,97,338,154,184,137,146,17,38,10,9,-,-,1,-,1,1,53,
00200,            ,            ,  ,,48,,5322,プラスチック卸売業,"46,139","31,453","14,686","45,468","31,606","13,862","44,927","31,296","13,631","3,966","1,220","39,741","27,330","12,411","25,644","9,335","1,686","3,076",239,169,"1,408",225,933,238,77,634,"3,812",541,310,231,191,18,15,52,265,104,161,86,111,18,50,7,7,1,-,-,-,-,1,63,
00200,            ,            ,  ,,49,,5329,その他の化学製品卸売業,"82,488","59,073","23,415","82,221","60,421","21,800","81,550","60,028","21,522","6,968","1,753","72,829","53,060","19,769","50,060","16,560","3,000","3,209",715,418,"3,948",328,"1,573",268,295,"1,253","5,120",671,393,278,229,28,22,83,309,142,167,120,126,22,41,11,3,-,-,1,-,5,1,58,
00200,            ,            ,  ,,50,,533,石油・鉱物卸売業,"58,549","44,251","14,298","60,470","46,618","13,852","59,940","46,255","13,685","4,465","1,001","54,474","41,790","12,684","37,154","9,547","4,636","3,137",475,263,"4,458",650,"1,422",212,159,610,"6,144",530,363,167,156,11,17,54,292,190,102,162,78,28,24,25,8,2,-,12,-,-,3,45,
00200,            ,            ,  ,,51,,5331,石油卸売業,"54,489","41,419","13,070","56,484","43,795","12,689","56,016","43,477","12,539","3,891",847,"51,278","39,586","11,692","35,095","8,700","4,491","2,992",461,251,"4,373",630,"1,348",198,155,553,"5,879",468,318,150,134,9,14,47,264,170,94,147,73,23,21,22,7,1,-,12,-,-,2,38,
00200,            ,            ,  ,,52,,5332,鉱物卸売業(石油を除く),"4,060","2,832","1,228","3,986","2,823","1,163","3,924","2,778","1,146",574,154,"3,196","2,204",992,"2,059",847,145,145,14,12,85,20,74,14,4,57,265,62,45,17,22,2,3,7,28,20,8,15,5,5,3,3,1,1,-,-,-,-,1,7,
00200,            ,            ,  ,,53,,534,鉄鋼製品卸売業,"87,479","62,180","25,299","87,021","63,150","23,871","86,047","62,540","23,507","6,976","1,948","77,123","55,564","21,559","52,323","18,417","3,241","3,142",894,329,"3,476",535,"1,283",354,324,"1,268","5,619",974,610,364,346,27,22,94,485,242,243,212,199,30,44,5,12,-,-,-,-,-,-,65,
